Unit,Floorplan,Bedrooms,Status,Current Rent,Lease Start,Lease End,PreleaseStart,VacantDays,Move-In Date,AmenityAdj
135,S0 - Studio,0,Vacant,,,2025-01-18,,,7,0
136,S0 - Studio,0,Occupied,1315,2024-07-25,2026-01-25,,,,25
137,S0 - Studio,0,Occupied,1300,2024-04-15,2025-10-15,,,,10
138,S0 - Studio,0,Occupied,1325,2024-09-20,2026-03-20,,,,40
139,S0 - Studio,0,Occupied,1310,2024-07-01,2026-01-01,,,,20
140,S0 - Studio,0,Occupied,1290,2024-02-10,2025-08-10,,,,0
141,S0 - Studio,0,Occupied,1320,2024-08-25,2026-02-25,,,,35
142,S0 - Studio,0,Occupied,1305,2024-06-05,2025-12-05,,,,15
143,S0 - Studio,0,Occupied,1295,2024-03-10,2025-09-10,,,,0
144,S0 - Studio,0,Occupied (On-Notice),1330,2024-10-10,2025-03-10,,,,50
145,S0 - Studio,0,Occupied,1300,2024-04-25,2025-10-25,,,,10
146,S0 - Studio,0,Occupied,1315,2024-07-30,2026-01-30,,,,25
147,S0 - Studio,0,Occupied,1285,2024-01-25,2025-07-25,,,,0
148,S0 - Studio,0,Occupied,1310,2024-06-30,2025-12-30,,,,20
149,S0 - Studio,0,Occupied,1320,2024-08-30,2026-03-01,,,,35
150,S0 - Studio,0,Occupied,1305,2024-06-10,2025-12-10,,,,15
201,A1 - 1x1,1,Occupied,1685,2024-03-15,2025-09-15,,,,0
202,A1 - 1x1,1,Occupied,1720,2024-06-01,2025-12-01,,,,50
203,A1 - 1x1,1,Occupied (On-Notice),1695,2024-02-01,2025-02-28,,,,0
204,A1 - 1x1,1,Occupied,1740,2024-08-15,2026-02-15,,,,75
205,A1 - 1x1,1,Vacant,,,2025-01-20,,,5,0
206,A1 - 1x1,1,Occupied,1705,2024-05-10,2025-11-10,,,,25
207,A1 - 1x1,1,Occupied,1680,2024-01-15,2025-07-15,,,,0
208,A1 - 1x1,1,Occupied,1750,2024-09-01,2026-03-01,,,,100
209,A1 - 1x1,1,Occupied,1710,2024-04-20,2025-10-20,,,,35
210,A1 - 1x1,1,Occupied,1725,2024-07-01,2026-01-01,,,,50
211,A1 - 1x1,1,Occupied,1695,2024-02-28,2025-08-28,,,,0
212,A1 - 1x1,1,Occupied (On-Notice),1735,2024-10-15,2025-03-15,,,,75
213,A1 - 1x1,1,Occupied,1700,2024-03-01,2025-09-01,,,,25
214,A1 - 1x1,1,Occupied,1720,2024-06-15,2025-12-15,,,,50
215,A1 - 1x1,1,Occupied,1685,2024-01-01,2025-07-01,,,,0
216,A1 - 1x1,1,Occupied,1740,2024-08-01,2026-02-01,,,,75
217,A1 - 1x1,1,Occupied,1705,2024-05-20,2025-11-20,,,,25
218,A1 - 1x1,1,Vacant,,,2025-01-15,,,10,0
219,A1 - 1x1,1,Occupied,1725,2024-07-15,2026-01-15,,,,50
220,A1 - 1x1,1,Occupied,1695,2024-02-15,2025-08-15,,,,0
221,A1 - 1x1,1,Occupied,1710,2024-04-01,2025-10-01,,,,35
222,A1 - 1x1,1,Occupied,1735,2024-09-15,2026-03-15,,,,75
223,A1 - 1x1,1,Occupied,1720,2024-06-20,2025-12-20,,,,50
224,A1 - 1x1,1,Occupied,1680,2024-01-10,2025-07-10,,,,0
225,A1 - 1x1,1,Occupied,1740,2024-08-10,2026-02-10,,,,75
226,A1 - 1x1,1,Occupied (On-Notice),1705,2024-05-25,2025-02-25,,,,25
227,A1 - 1x1,1,Occupied,1725,2024-07-20,2026-01-20,,,,50
228,A1 - 1x1,1,Occupied,1700,2024-04-10,2025-10-10,,,,25
229,A1 - 1x1,1,Occupied,1750,2024-10-01,2026-04-01,,,,100
230,A1 - 1x1,1,Occupied,1695,2024-03-05,2025-09-05,,,,0
231,A1 - 1x1,1,Occupied,1720,2024-06-25,2025-12-25,,,,50
232,A1 - 1x1,1,Occupied,1685,2024-01-20,2025-07-20,,,,0
233,A1 - 1x1,1,Occupied,1740,2024-08-20,2026-02-20,,,,75
234,A1 - 1x1,1,Occupied,1705,2024-05-30,2025-11-30,,,,25
235,A1 - 1x1,1,Vacant,,,2025-01-18,,,7,0
236,A1 - 1x1,1,Occupied,1725,2024-07-25,2026-01-25,,,,50
237,A1 - 1x1,1,Occupied,1710,2024-04-15,2025-10-15,,,,35
238,A1 - 1x1,1,Occupied,1735,2024-09-20,2026-03-20,,,,75
239,A1 - 1x1,1,Occupied,1720,2024-07-01,2026-01-01,,,,50
240,A1 - 1x1,1,Occupied,1680,2024-02-10,2025-08-10,,,,0
241,A1 - 1x1,1,Occupied,1740,2024-08-25,2026-02-25,,,,75
242,A1 - 1x1,1,Occupied,1705,2024-06-05,2025-12-05,,,,25
243,A1 - 1x1,1,Occupied,1695,2024-03-10,2025-09-10,,,,0
244,A1 - 1x1,1,Occupied (On-Notice),1750,2024-10-10,2025-03-10,,,,100
245,A1 - 1x1,1,Occupied,1700,2024-04-25,2025-10-25,,,,25
246,A1 - 1x1,1,Occupied,1725,2024-07-30,2026-01-30,,,,50
247,A1 - 1x1,1,Occupied,1685,2024-01-25,2025-07-25,,,,0
248,A1 - 1x1,1,Occupied,1720,2024-06-30,2025-12-30,,,,50
249,A1 - 1x1,1,Occupied,1740,2024-08-30,2026-03-01,,,,75
250,A1 - 1x1,1,Occupied,1705,2024-06-10,2025-12-10,,,,25
251,A1 - 1x1,1,Occupied,1695,2024-03-20,2025-09-20,,,,0
252,A1 - 1x1,1,Occupied,1735,2024-09-25,2026-03-25,,,,75
253,A1 - 1x1,1,Occupied,1710,2024-04-30,2025-10-30,,,,35
254,A1 - 1x1,1,Occupied,1725,2024-08-05,2026-02-05,,,,50
255,A1 - 1x1,1,Vacant,,,2025-01-22,,,3,0
256,A1 - 1x1,1,Occupied,1680,2024-02-20,2025-08-20,,,,0
257,A1 - 1x1,1,Occupied,1740,2024-09-05,2026-03-05,,,,75
258,A1 - 1x1,1,Occupied,1705,2024-06-15,2025-12-15,,,,25
259,A1 - 1x1,1,Occupied (On-Notice),1720,2024-07-10,2025-02-10,,,,50
260,A1 - 1x1,1,Occupied,1695,2024-03-25,2025-09-25,,,,0
261,A1 - 1x1,1,Occupied,1750,2024-10-20,2026-04-20,,,,100
262,A1 - 1x1,1,Occupied,1710,2024-05-05,2025-11-05,,,,35
263,A1 - 1x1,1,Occupied,1725,2024-08-10,2026-02-10,,,,50
264,A1 - 1x1,1,Occupied,1685,2024-01-30,2025-07-30,,,,0
265,A1 - 1x1,1,Occupied,1735,2024-09-30,2026-03-30,,,,75
266,A1 - 1x1,1,Occupied,1700,2024-05-10,2025-11-10,,,,25
267,A1 - 1x1,1,Occupied,1720,2024-07-20,2026-01-20,,,,50
268,A1 - 1x1,1,Occupied,1680,2024-02-25,2025-08-25,,,,0
269,A1 - 1x1,1,Occupied,1740,2024-09-10,2026-03-10,,,,75
270,A1 - 1x1,1,Occupied,1705,2024-06-20,2025-12-20,,,,25
271,A1 - 1x1,1,Occupied,1695,2024-04-05,2025-10-05,,,,0
272,A1 - 1x1,1,Occupied,1725,2024-08-15,2026-02-15,,,,50
273,A1 - 1x1,1,Occupied,1710,2024-05-15,2025-11-15,,,,35
274,A1 - 1x1,1,Occupied (On-Notice),1735,2024-10-05,2025-03-05,,,,75
275,A1 - 1x1,1,Occupied,1700,2024-05-20,2025-11-20,,,,25
276,A1 - 1x1,1,Occupied,1750,2024-10-25,2026-04-25,,,,100
277,A1 - 1x1,1,Occupied,1685,2024-02-05,2025-08-05,,,,0
278,A1 - 1x1,1,Occupied,1740,2024-09-15,2026-03-15,,,,75
279,A1 - 1x1,1,Occupied,1705,2024-06-25,2025-12-25,,,,25
280,A1 - 1x1,1,Occupied,1720,2024-07-25,2026-01-25,,,,50
281,A1 - 1x1,1,Occupied,1695,2024-04-10,2025-10-10,,,,0
282,A1 - 1x1,1,Occupied,1735,2024-10-10,2026-04-10,,,,75
283,A1 - 1x1,1,Vacant,,,2025-01-23,,,2,0
284,A1 - 1x1,1,Occupied,1710,2024-05-25,2025-11-25,,,,35
285,A1 - 1x1,1,Occupied,1725,2024-08-20,2026-02-20,,,,50
286,A1 - 1x1,1,Occupied,1680,2024-03-05,2025-09-05,,,,0
287,A1 - 1x1,1,Occupied,1740,2024-09-20,2026-03-20,,,,75
288,A1 - 1x1,1,Occupied,1705,2024-07-05,2026-01-05,,,,25
289,A1 - 1x1,1,Occupied,1700,2024-05-30,2025-11-30,,,,25
290,A1 - 1x1,1,Occupied (On-Notice),1750,2024-10-30,2025-03-30,,,,100
291,A1 - 1x1,1,Occupied,1695,2024-04-15,2025-10-15,,,,0
292,A1 - 1x1,1,Occupied,1720,2024-08-01,2026-02-01,,,,50
293,A1 - 1x1,1,Occupied,1685,2024-03-10,2025-09-10,,,,0
294,A1 - 1x1,1,Occupied,1735,2024-10-15,2026-04-15,,,,75
295,A1 - 1x1,1,Occupied,1710,2024-06-01,2025-12-01,,,,35
296,A1 - 1x1,1,Occupied,1725,2024-08-25,2026-02-25,,,,50
297,A1 - 1x1,1,Occupied,1740,2024-09-25,2026-03-25,,,,75
298,A1 - 1x1,1,Occupied,1705,2024-07-10,2026-01-10,,,,25
299,A1 - 1x1,1,Occupied,1700,2024-06-05,2025-12-05,,,,25
300,A1 - 1x1,1,Occupied,1695,2024-04-20,2025-10-20,,,,0
301,B2 - 2x2,2,Occupied,2185,2024-03-15,2025-09-15,,,,0
302,B2 - 2x2,2,Occupied,2235,2024-06-01,2025-12-01,,,,75
303,B2 - 2x2,2,Occupied (On-Notice),2200,2024-02-01,2025-02-28,,,,0
304,B2 - 2x2,2,Occupied,2260,2024-08-15,2026-02-15,,,,125
305,B2 - 2x2,2,Vacant,,,2025-01-20,,,5,0
306,B2 - 2x2,2,Occupied,2215,2024-05-10,2025-11-10,,,,50
307,B2 - 2x2,2,Occupied,2180,2024-01-15,2025-07-15,,,,0
308,B2 - 2x2,2,Occupied,2275,2024-09-01,2026-03-01,,,,150
309,B2 - 2x2,2,Occupied,2225,2024-04-20,2025-10-20,,,,75
310,B2 - 2x2,2,Occupied,2245,2024-07-01,2026-01-01,,,,100
311,B2 - 2x2,2,Occupied,2200,2024-02-28,2025-08-28,,,,0
312,B2 - 2x2,2,Occupied (On-Notice),2255,2024-10-15,2025-03-15,,,,125
313,B2 - 2x2,2,Occupied,2210,2024-03-01,2025-09-01,,,,50
314,B2 - 2x2,2,Occupied,2235,2024-06-15,2025-12-15,,,,75
315,B2 - 2x2,2,Occupied,2185,2024-01-01,2025-07-01,,,,0
316,B2 - 2x2,2,Occupied,2260,2024-08-01,2026-02-01,,,,125
317,B2 - 2x2,2,Occupied,2215,2024-05-20,2025-11-20,,,,50
318,B2 - 2x2,2,Vacant,,,2025-01-15,,,10,0
319,B2 - 2x2,2,Occupied,2245,2024-07-15,2026-01-15,,,,100
320,B2 - 2x2,2,Occupied,2200,2024-02-15,2025-08-15,,,,0
321,B2 - 2x2,2,Occupied,2225,2024-04-01,2025-10-01,,,,75
322,B2 - 2x2,2,Occupied,2255,2024-09-15,2026-03-15,,,,125
323,B2 - 2x2,2,Occupied,2235,2024-06-20,2025-12-20,,,,75
324,B2 - 2x2,2,Occupied,2180,2024-01-10,2025-07-10,,,,0
325,B2 - 2x2,2,Occupied,2260,2024-08-10,2026-02-10,,,,125
326,B2 - 2x2,2,Occupied (On-Notice),2215,2024-05-25,2025-02-25,,,,50
327,B2 - 2x2,2,Occupied,2245,2024-07-20,2026-01-20,,,,100
328,B2 - 2x2,2,Occupied,2210,2024-04-10,2025-10-10,,,,50
329,B2 - 2x2,2,Occupied,2275,2024-10-01,2026-04-01,,,,150
330,B2 - 2x2,2,Occupied,2200,2024-03-05,2025-09-05,,,,0
331,B2 - 2x2,2,Occupied,2235,2024-06-25,2025-12-25,,,,75
332,B2 - 2x2,2,Occupied,2185,2024-01-20,2025-07-20,,,,0
333,B2 - 2x2,2,Occupied,2260,2024-08-20,2026-02-20,,,,125
334,B2 - 2x2,2,Occupied,2215,2024-05-30,2025-11-30,,,,50
335,B2 - 2x2,2,Vacant,,,2025-01-18,,,7,0
336,B2 - 2x2,2,Occupied,2245,2024-07-25,2026-01-25,,,,100
337,B2 - 2x2,2,Occupied,2225,2024-04-15,2025-10-15,,,,75
338,B2 - 2x2,2,Occupied,2255,2024-09-20,2026-03-20,,,,125
339,B2 - 2x2,2,Occupied,2235,2024-07-01,2026-01-01,,,,75
340,B2 - 2x2,2,Occupied,2180,2024-02-10,2025-08-10,,,,0
401,C3 - 3x2 Small,3,Occupied,2685,2024-03-15,2025-09-15,,,,0
402,C3 - 3x2 Small,3,Occupied,2750,2024-06-01,2025-12-01,,,,100
403,C3 - 3x2 Small,3,Occupied (On-Notice),2710,2024-02-01,2025-02-28,,,,0
404,C3 - 3x2 Small,3,Occupied,2785,2024-08-15,2026-02-15,,,,150
405,C3 - 3x2 Small,3,Vacant,,,2025-01-20,,,5,0
406,C3 - 3x2 Small,3,Occupied,2725,2024-05-10,2025-11-10,,,,75
407,C3 - 3x2 Small,3,Occupied,2680,2024-01-15,2025-07-15,,,,0
408,C3 - 3x2 Small,3,Occupied,2800,2024-09-01,2026-03-01,,,,200
409,C3 - 3x2 Small,3,Occupied,2740,2024-04-20,2025-10-20,,,,100
410,C3 - 3x2 Small,3,Occupied,2765,2024-07-01,2026-01-01,,,,125

